,0
0,AAP
1,AAPL
2,ABMD
3,ACN
4,ADBE
5,ADP
6,AEE
7,AIZ
8,AJG
9,AKAM
10,ALGN
11,AME
12,AMT
13,AMZN
14,ANET
15,ANSS
16,AON
17,APH
18,ARE
19,ATVI
20,AVB
21,AVGO
22,AZO
23,BAX
24,BIIB
25,BIO
26,BKNG
27,BSX
28,CAG
29,CB
30,CBOE
31,CBRE
32,CCI
33,CDNS
34,CDW
35,CHD
36,CI
37,CL
38,CLX
39,CMG
40,CNC
41,COST
42,CPRT
43,CRM
44,CTAS
45,CTLT
46,DE
47,DG
48,DGX
49,DHI
50,DHR
51,DLR
52,DOV
53,DPZ
54,DTE
55,EA
56,EMR
57,EQIX
58,EQR
59,ESS
60,EVRG
61,EXPD
62,EXR
63,FAST
64,FB
65,FBHS
66,FLS
67,FLT
68,FTNT
69,FTV
70,GIS
71,GOOG
72,GOOGL
73,GPS
74,GRMN
75,HCA
76,HD
77,HII
78,HSY
79,HUM
80,IDXX
81,IEX
82,IFF
83,ILMN
84,INTU
85,IPG
86,IRM
87,ISRG
88,IT
89,JCI
90,JKHY
91,K
92,KEYS
93,KLAC
94,KMB
95,LDOS
96,LEN
97,LHX
98,LIN
99,LKQ
100,LMT
101,LNT
102,LRCX
103,LW
104,MA
105,MAR
106,MAS
107,MCHP
108,MCO
109,MDLZ
110,MDT
111,MKC
112,MKTX
113,MLM
114,MMC
115,MMM
116,MNST
117,MPWR
118,MRK
119,MSCI
120,MSFT
121,MTD
122,NCLH
123,NOC
124,NVDA
125,NVR
126,O
127,ORLY
128,OTIS
129,PAYC
130,PAYX
131,PCAR
132,PH
133,PHM
134,PM
135,PNW
136,POOL
137,PYPL
138,RCL
139,REGN
140,RHI
141,RMD
142,ROL
143,ROST
144,RSG
145,SBAC
146,SEE
147,SHW
148,SIVB
149,SNPS
150,SO
151,SPGI
152,STE
153,SWK
154,TDY
155,TER
156,TFX
157,TGT
158,TMO
159,TRMB
160,TRV
161,TSCO
162,TSN
163,TTWO
164,UHS
165,ULTA
166,UNH
167,VIAC
168,VNT
169,VRTX
170,VTR
171,WAB
172,WLTW
173,WST
174,ZBRA
175,ZTS
